category_id,name,enforce,detail
1,등록금 4분할 납부,O,1학기부터 시행
1,등록금 환원율 극대화,O,기숙사 셔틀버스나 인자셔틀버스 증차
1,장학금 신설?(-),O,신설되는 장학금은 국가장학금이나 문행장학금을 수혜 받지 못하지만 실제적인 가계 운영에 어려움을 겪고 있는 학우들을 대상
2,한중일 글로벌 국토대장정,O,일본 측이 안전을 문제로 불참함에 따라 우리학교와 베이징대 학우가 함께 백두대간을 종주하는  ‘白頭 The Future’로 선회 이행
2,성균체전 확대 및 과별 매칭?(△),O,성대체전의 ‘과별 매칭’은 양 캠 단과대를 연결한 후 한 텐트 안에서 함께 응원하는 것으로 바꿔 진행했다
2,건학기념일 행사 공개화 및 확대,O,인사캠 건기제는 부스를 신청한 모든 학내단체에 공간을 제공하였고 자과캠 건기제의 경우에는 '전통'을 주제로 한 각종 이벤트 및 전통놀이 체험 등을 진행
2,테마여행 공모전,O,‘테마여행공모전’은 인사캠 5팀에 20만 원씩 / 자과캠 16명에 10만 원씩 지원하는 것으로 무사히 이행
3,인자 셔틀버스 증차,O,
3,물품대여 품목 확대,O,대여물품은 캠퍼스마다 다르게 구비
3,성균생활백서 제작,O,교환학생 신청과 장학금 신청 그리고 학내 연락처를 총학생회 페이스북에 게시
3,남학생 휴게실 개선,O,내부청소 및 침구류 세탁
3,타행 ATM기기 설치,X,
3,통합 분실물 센터,△,자과캠은 학교 측과의 협의 과정에서 무산되었고 인사캠은 오프라인 창구 개설
4,페이스북 운영,O,게릴라 이벤트와 성대생활백서 등을 통해 페이스북 운영 그리고 페이스북 메시지를 통해 학우들의 건의사항과 문의사항을 받거나 대리수령 공약을 이행
5,전공설명회 활성화,X,각 학과의 독립성과 전통을 훼손할 수 있다는 우려로 인해 기획 도중 취소
5,휴학생 계절학기 수강,O,
5,경영관 노트북 열람실 리모델링 및 좌석발권 시스템 도입,X,학교 측에서 이미 해당 공간에 대한 용도 변경 계획을 갖고 있다는 것이 밝혀져 공약 이행이 어려워졌다
5,예대 필수교양 전용반,△,타 단과대 학우들에 대한 역차별이 우려돼 학수번호를 이용한 수강신청을 유도하는 선회 이행 방식이 적용
6,공로장학금 근로장학금 전환,X,
7,슈퍼스타 SKK,O,슈퍼스타 SKK에서는 총 30여 개 팀이 참가해 온오프라인 투표를 거쳐 최종 우승자가 선발
7,문화행사,O,대학로 공연 관람을 지원하기 위한 게릴라 티켓 이벤트를 실시했으며 / 각 단과대의 문화 행사를 추가적으로 지원
7,신입생 반별 교류 활동 지원?(X),O,FG(Freshman Guide)와의 협상 과정에서 신입생 지원을 위한 적합한 시기를 놓쳤다는 자체적인 판단 하에 이행되지 않았다.
8,도서관 야외휴게실 개선,O,야외휴게실에 벤치 설치
8,운동장 평탄화 작업,O,우천시를 대비하여 모래함 설치
8,셔틀종점 설치,-,
8,경영관 스크린 설치,-,학교측과 협의가 이뤄진 상태로 내년에 이행될 계획
8,체크카드 혜택 강화,-,
8,스낵자판기 설치/ 기존자판기 유제품 자판기로 교체,O,경영관 지하 1층과 다산경제관 3층 그리고 법학관 3층 등의 건물 내에 7대의 멀티 자판기를 갖춤
8,신축기숙사 셔틀 운행/ 티머니 가격인하/ 티머니 후불카드 추가,O,
8,금잔디식당 통로 개방,X,
8,부동산 커뮤니티 개설/ 과외알선 정보공유,X,부동산 업계와 총학 사이에 공감대가 형성되지 못해 무산
